CD,STATION,ICAO,IATA,SYNOP,LATdeg,LATmin,LONdeg,LONmin,ELEV,M,N,V,U,A,C,PRIORITY,COUNTRY CODE,LAT,LON
,NORNE FPSO OILP,ENNE,,,66,02N,008,05E,10,X,,T,,,,8.0,NO,66.03333333333333,8.083333333333334
,NOTODDEN,ENNO,NTB,,59,34N,009,13E,19,X,,T,,,,7.0,NO,59.56666666666667,9.216666666666667
,NY-ALESUND II,ENAS,,,78,55N,011,55E,8,X,,,,,,7.0,SJ,78.91666666666667,11.916666666666666
,ORLAND III(NOR-A,ENOL,OLA,,63,42N,009,36E,9,X,,T,X,,,6.0,NO,63.7,9.6
,ORSTA-VOLDA/HOVD,ENOV,HOV,,62,10N,006,04E,72,X,,T,,,,7.0,NO,62.166666666666664,6.066666666666666
,OSEBERG,ENOA,,,60,30N,002,50E,5,X,,T,,,,7.0,NO,60.5,2.8333333333333335
,OSLO/GARDERMOEN,ENGM,OSL,,60,12N,011,04E,204,X,,T,X,,,6.0,NO,60.2,11.066666666666666
,ROROS AIRPORT,ENRO,RRS,,62,34N,011,20E,624,X,,T,,,,6.0,NO,62.56666666666667,11.333333333333334
,RORVIK/RYUM,ENRM,RVK,,64,50N,011,08E,4,X,,T,,,,6.0,NO,64.83333333333333,11.133333333333333
,ROST (NOR-AFB),ENRS,RET,,67,31N,012,06E,4,X,,,,,,7.0,NO,67.51666666666667,12.1
,RYGGE (NOR-AFB),ENRY,RYG,,59,22N,010,46E,45,X,,T,,,,6.0,NO,59.36666666666667,10.766666666666667
,SANDANE/ANDA,ENSD,SDN,,61,49N,006,07E,61,X,,T,,,,7.0,NO,61.81666666666667,6.116666666666666
,SANDNESSJOEN/STO,ENST,SSJ,,65,58N,012,28E,17,X,,,,,,7.0,NO,65.96666666666667,12.466666666666667
,SKIEN/GEITERYGGE,ENSN,SKE,,59,11N,009,34E,135,X,,T,,,,7.0,NO,59.18333333333333,9.566666666666666
,SLEIPNER A PLATF,ENSL,,,58,22N,001,54E,50,X,,T,,,,8.0,NO,58.36666666666667,1.9
,SNORRE A OILP,ENSE,,,61,27N,002,09E,10,X,,,,,,8.0,NO,61.45,2.15
,SNORRE B OILP,ENQR,,,61,31N,002,13E,10,X,,,,,,8.0,NO,61.516666666666666,2.216666666666667
,SOGNDAL/HAUKASEN,ENSG,SOG,,61,09N,007,08E,493,X,,,,,,7.0,NO,61.15,7.133333333333334
,SORKJOSEN,ENSR,SOJ,,69,47N,020,58E,5,X,,T,,,,7.0,NO,69.78333333333333,20.966666666666665
,STATFJORD A OILP,ENSF,,,61,15N,001,51E,15,X,,,,,,8.0,NO,61.25,1.85
,STATFJORD B OILP,ENFB,,,61,12N,001,50E,10,X,,,,,,8.0,NO,61.2,1.8333333333333335
,STAVANGER/SOLA(A,ENZV,SVG,,58,53N,005,38E,7,X,,T,X,,,6.0,NO,58.88333333333333,5.633333333333333
,STORD/SOERSTOKKE,ENSO,,,59,47N,005,20E,48,X,,T,,,,7.0,NO,59.78333333333333,5.333333333333333
,STORKMARKNES/SKA,ENSK,SKN,,68,34N,015,01E,3,X,,T,,,,7.0,NO,68.56666666666666,15.016666666666667
,SVALBARD/LONGYEA,ENSB,LYR,,78,15N,015,28E,30,X,,T,,,,6.0,SJ,78.25,15.466666666666667
,SVARTNES,ENSS,VAW,,70,21N,031,03E,13,X,,,,,,7.0,NO,70.35,31.05
,SVOLVAER/HELLE,ENSH,SVJ,,68,15N,014,40E,9,X,,T,,,,6.0,NO,68.25,14.666666666666666
,TORP (CIV/NOR-AF,ENTO,TRF,,59,12N,010,16E,84,X,,T,,,,6.0,NO,59.2,10.266666666666667
,TROLL-A HELI,ENQA,,,60,39N,003,43E,90,X,,,,,,8.0,NO,60.65,3.716666666666667
,TROLL-C HELI,ENQC,,,60,53N,003,37E,20,X,,,,,,8.0,NO,60.88333333333333,3.6166666666666667
,TROMSO/LANGNES,ENTC,TOS,,69,41N,018,55E,9,X,,T,,,,6.0,NO,69.68333333333334,18.916666666666668
,TRONDHEIM/VAERNE,ENVA,TRD,,63,28N,010,55E,12,X,,T,,,,6.0,NO,63.46666666666667,10.916666666666666
,ULA PLATFORM (OI,ENLA,,,57,06N,002,50E,10,X,,,,,,6.0,NO,57.1,2.8333333333333335
,VADSO,ENVD,VDS,,70,04N,029,51E,39,X,,T,,,,6.0,NO,70.06666666666666,29.85
,VALHALL (OIL),ENVH,,,56,16N,003,23E,4,X,,,,,,6.0,NO,56.266666666666666,3.3833333333333333
,VALHALL(OIL),ENWV,,,56,17N,003,24E,30,X,,,,,,7.0,NO,56.28333333333333,3.4
,VAREROY,ENVR,,,67,39N,012,43E,4,X,,,,,,8.0,NO,67.65,12.716666666666667
,VOSS/BOMOEN,ENBM,,01336,60,38N,006,30E,122,X,,,,,,7.0,NO,60.63333333333333,6.5
,BYDGOSZCZ,EPBY,BZG,,53,06N,018,00E,66,X,,T,,,,8.0,PL,53.1,18.0
,GDANSK/REBIECHOW,EPGD,GDN,12150,54,22N,018,28E,136,X,,T,,,,6.0,PL,54.36666666666667,18.466666666666665
,GRUDZIADZ LISIE,EPGI,,,53,31N,018,51E,37,X,,T,,,,6.0,PL,53.516666666666666,18.85
,KATOWICE/PYRZOWI,EPKT,KTW,12560,50,28N,019,05E,296,X,,T,,,,6.0,PL,50.46666666666667,19.083333333333332
,KRAKOW/BALICE,EPKK,KRK,12566,50,04N,019,48E,237,X,,T,,,,6.0,PL,50.06666666666667,19.8
,LODZ/LUBLINEK,EPLL,LCJ,,51,43N,019,24E,176,X,,T,,,,7.0,PL,51.71666666666667,19.4
,LUBLIN,EPLB,LUZ,,51,14N,022,43E,206,X,,T,,,,7.0,PL,51.233333333333334,22.716666666666665
,MODLIN,EPMO,WMI,,52,27N,020,39E,102,X,,T,,,,7.0,PL,52.45,20.65
,POZNAN/LAWICA,EPPO,POZ,12330,52,25N,016,50E,87,X,,T,,,,6.0,PL,52.416666666666664,16.833333333333332
,RADOM AIRPORT,EPRA,RDO,12485,51,23N,021,13E,182,X,,T,,,,8.0,PL,51.38333333333333,21.216666666666665
,RZESZOW/JASIONKA,EPRZ,RZE,12580,50,06N,022,01E,206,X,,T,,,,6.0,PL,50.1,22.016666666666666
,SZCZECIN/GOLENIO,EPSC,SZZ,12205,53,35N,014,54E,47,X,,T,,,,6.0,PL,53.583333333333336,14.9
,SZYMANY,EPSY,SZY,,53,28N,020,56E,136,X,,T,,,,8.0,PL,53.46666666666667,20.933333333333334
,WARSAW/OKECIE,EPWA,WAW,12375,52,10N,020,58E,107,X,,T,,,,6.0,PL,52.166666666666664,20.966666666666665
,WROCLAW/STRACHOW,EPWR,WRO,12424,51,06N,016,53E,118,X,,T,,,,6.0,PL,51.1,16.883333333333333
,ZIELONA GORA,EPZG,IEG,12400,52,08N,015,46E,59,X,,T,,,,7.0,PL,52.13333333333333,15.766666666666667
,ANGELHOLM (SWE-A,ESTA,AGH,,56,17N,012,50E,19,X,,T,,,,6.0,SE,56.28333333333333,12.833333333333334
,ARVIDSJAUR,ESNX,AJR,,65,35N,019,17E,380,X,,T,,,,8.0,SE,65.58333333333333,19.283333333333335
,BORLANGE (SWE-AF,ESSD,BLE,,60,25N,015,30E,151,X,,T,,,,6.0,SE,60.416666666666664,15.5
,GALLIVARE (PRIVA,ESNG,GEV,,67,08N,020,49E,300,X,,T,,,,7.0,SE,67.13333333333334,20.816666666666666
,GAVLE/SANDVIKEN,ESSK,GVX,02443,60,36N,016,57E,69,X,,,,,,7.0,SE,60.6,16.95
,GOTEBORG/LANDVET,ESGG,GOT,,57,40N,012,18E,152,X,,T,X,,,6.0,SE,57.666666666666664,12.3
,GOTEBORG/SAVE (A,ESGP,GSE,,57,46N,011,52E,15,X,,T,,,,6.0,SE,57.766666666666666,11.866666666666667
,GUNNARN (SWE-AFB,ESPD,,02128,65,01N,017,40E,281,X,,,,,,7.0,SE,65.01666666666667,17.666666666666668
,HAGFORS,ESOH,HFS,,60,01N,013,35E,145,X,,,,,,8.0,SE,60.016666666666666,13.583333333333334
,HAGSHULT (SWE-AF,ESMV,,,57,17N,014,08E,167,X,,T,,,,7.0,SE,57.28333333333333,14.133333333333333
,HALMSTAD (SWE-AF,ESMT,HAD,,56,41N,012,49E,24,X,,T,,,,7.0,SE,56.68333333333333,12.816666666666666
,HEMAVAN,ESUT,HMV,,65,48N,015,05E,457,X,,T,,,,8.0,SE,65.8,15.083333333333334
,HULTSFRED (SWE-A,ESSF,HLF,02565,57,31N,015,49E,112,X,,,,,,7.0,SE,57.516666666666666,15.816666666666666
,JOKKMOKK (SWE-AF,ESNJ,,02142,66,37N,019,38E,264,X,,,,,,7.0,SE,66.61666666666666,19.633333333333333
,JONKOPING AIRPOR,ESGJ,JKG,,57,46N,014,04E,224,X,,T,,,,6.0,SE,57.766666666666666,14.066666666666666
,KALLAX/LULEA (AF,ESPA,LLA,,65,32N,022,07E,12,X,,T,X,,,6.0,SE,65.53333333333333,22.116666666666667
,KALMAR,ESMQ,KLR,,56,41N,016,18E,3,X,,T,,,,7.0,SE,56.68333333333333,16.3
,KARLSBORG (SWE-A,ESIA,,,58,31N,014,30E,94,X,,T,,,,7.0,SE,58.516666666666666,14.5
,KARLSTAD NORTH,ESOK,KSD,,59,27N,013,20E,101,X,,T,,,,6.0,SE,59.45,13.333333333333334
,KARLSTADT AIRPOR,ESSQ,,02418,59,22N,013,28E,55,X,,,,,,7.0,SE,59.36666666666667,13.466666666666667
,KIRUNA AIRPORT,ESNQ,KRN,,67,49N,020,20E,447,X,,T,,,,6.0,SE,67.81666666666666,20.333333333333332
,KRAMFORS (SWE-AF,ESNK,KRF,,63,02N,017,46E,4,X,,T,,,,7.0,SE,63.03333333333333,17.766666666666666
,KRISTIANSTAD/EVE,ESMK,KID,,55,55N,014,05E,20,X,,T,,,,6.0,SE,55.916666666666664,14.083333333333334
,LIDKOPING,ESGL,LDK,,58,28N,013,11E,58,X,,,,,,8.0,SE,58.46666666666667,13.183333333333334
,LINKOPING/MALMEN,ESCF,,,58,23N,015,31E,86,X,,T,,,,7.0,SE,58.38333333333333,15.516666666666667
,LINKOPING/SAAB,ESSL,LPI,,58,24N,015,40E,51,X,,T,,,,7.0,SE,58.4,15.666666666666666
,LJUNGBYHED,ESTL,,,56,04N,013,12E,39,X,,T,,,,6.0,SE,56.06666666666667,13.2
,LJUNGBYHED(SWE-A,ESDA,,02630,56,04N,013,13E,52,X,,,,,,7.0,SE,56.06666666666667,13.216666666666667
,LYCKSELE,ESNL,LYC,,64,33N,018,43E,220,X,,T,,,,8.0,SE,64.55,18.716666666666665
,MALMO/STURUP,ESMS,MMX,,55,32N,013,22E,68,X,,T,,,,6.0,SE,55.53333333333333,13.366666666666667
,NORRKOPING/KUNGS,ESSP,NRK,,58,35N,016,15E,3,X,,T,,,,6.0,SE,58.583333333333336,16.25
